jours;debut;ending;activity;cam
1/2;12:10:00;03:38:00;transport;cam_inf
2;03:38:00;05:14:00;resting;cam_inf
2;05:14:00;06:42:00;construction;cam_inf
2;06:42:00;08:58:00;transport+construction;cam_inf
1;12:10:00;20:17:00;resting;cam_sup
1;20:17:00;20:36:00;column;cam_sup
1;20:36:00;21:39:00;resting;cam_sup
1;21:39:00;21:51:00;column;cam_sup
1/2;21:51:00;02:18:00;resting;cam_sup
2;02:18:00;08:21:00;foraging;cam_sup
