jours;debut;ending;activity;cam
1;12:41:00;12:48:00;column;cam_inf
1;12:48:00;13:07:00;resting;cam_inf
1;13:07:00;15:07:00;transport;cam_inf
1;15:07:00;20:21:00;resting;cam_inf
1;20:21:00;21:52:00;transport;cam_inf
1/2;21:52:00;06:10:00;transport+construction;cam_inf
